registrant_name,times_lobbied,avg_amount,total_amout,start_year,end_year,unique_years,policy_issue
"KOUNTOUPES DENHAM CARR & REID, LLC",14,0,0,2012,2016,4,hydropower
LEAGUE OF CONSERVATION VOTERS,1,50000,50000,2017,2017,1,hydropower
"LEWIS-BURKE ASSOCIATES, LLC",9,0,0,2018,2020,3,hydropower
LONE ROCK STRATEGIES,3,0,0,2017,2017,1,hydropower
"MARCUS G. FAUST, PC",35,0,0,2011,2021,9,hydropower
"MCKENNA, LONG & ALDRIDGE",19,0,0,2010,2015,6,hydropower
MEGUIRE WHITNEY,42,0,0,2017,2021,5,hydropower
METROPOLITAN WATER DISTRICT OF SOUTHERN CALIFORNIA,9,189988.66666666666,1709898,2011,2013,3,hydropower
MICHAEL BROWER,1,0,0,2012,2012,1,hydropower
MICHAEL POWELSON,3,0,0,2021,2021,1,hydropower
MID-WEST ELECTRIC CONSUMERS ASSOCIATION,42,7380.952380952381,310000,2010,2021,11,hydropower
"MISSY EDWARDS STRATEGIES, LLC",4,0,0,2020,2021,2,hydropower
"ML STRATEGIES, LLC",6,0,0,2011,2013,3,hydropower
"MOFFETT GROUP, LLC",4,0,0,2012,2013,2,hydropower
"MORGAN MEGUIRE, LLC",154,0,0,2010,2016,7,hydropower
MR. GEORGE WATERS,2,0,0,2014,2014,1,hydropower
NATIONAL GRID USA,15,480000,7200000,2017,2020,4,hydropower
NATIONAL HYDROPOWER ASSOCIATION,41,116341.46341463414,4770000,2010,2021,12,hydropower
NATIONAL PARKS CONSERVATION ASSOCIATION,1,140996,140996,2018,2018,1,hydropower
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),38,645394.7368421053,24525000,2011,2020,10,hydropower
NATIONAL WATER RESOURCES ASSOCIATION,11,85454.54545454546,940000,2010,2013,4,hydropower
NATIONAL WILDLIFE FEDERATION,2,60000,120000,2015,2017,2,hydropower
NATURAL RESOURCE RESULTS LLC,5,0,0,2021,2021,1,hydropower
"NAVIGATORS GLOBAL LLC (FORMERLY DC NAVIGATORS, LLC)",7,0,0,2015,2016,2,hydropower
"NEXTERA ENERGY, INC.",5,584000,2920000,2011,2018,2,hydropower
NICOLE CASE,1,0,0,2020,2020,1,hydropower
"NISOURCE, INC",2,115000,230000,2017,2018,2,hydropower
NORTHERN CALIFORNIA POWER AGENCY,31,139148.06451612903,4313590,2011,2021,9,hydropower
NORTHWEST PUBLIC POWER ASSOCIATION,1,20000,20000,2013,2013,1,hydropower
OHIO MUNICIPAL ELECTRIC ASSOCIATION,30,78694.03333333334,2360821,2011,2018,8,hydropower
OREGON FARM BUREAU FEDERATION,1,21066,21066,2018,2018,1,hydropower
PACIFIC GAS AND ELECTRIC COMPANY,32,981875,31420000,2010,2021,10,hydropower
PACIFIC NORTHWEST GENERATING COOPERATIVE (DBA PNGC POWER),16,54240.4375,867847,2017,2020,4,hydropower
PACIFIC NORTHWEST WATERWAYS ASSOCIATION (PNWA),23,10000,230000,2010,2018,9,hydropower
"PARK STRATEGIES, LLC",13,0,0,2007,2016,3,hydropower
PETER CARLSON,11,0,0,2011,2013,3,hydropower
"POLICY COMMUNICATONS, INC.",5,0,0,2012,2013,2,hydropower
PORTLAND GENERAL ELECTRIC,31,93064.51612903226,2885000,2010,2020,10,hydropower
"POWERS PYLES SUTTER & VERVILLE, P.C.",21,0,0,2016,2021,6,hydropower
PPL CORPORATION,3,76666.66666666667,230000,2018,2020,2,hydropower
"PROGRESS ENERGY, INC.",9,413333.3333333333,3720000,2011,2012,2,hydropower
PUBLIC SERVICE ENTERPRISE GROUP,3,560000,1680000,2015,2015,1,hydropower
PUGET SOUND ENERGY,7,252857.14285714287,1770000,2012,2017,3,hydropower
"RKB STRATEGIES, LLC (FKA RKB CONSULTING, LLC)",10,0,0,2010,2018,4,hydropower
ROBERT W. JOHNSON LLC,2,0,0,2014,2014,1,hydropower
"ROBERTSON, MONAGLE, AND EASTAUGH",20,0,0,2011,2016,6,hydropower
SALT RIVER PROJECT,30,209333.33333333334,6280000,2011,2020,8,hydropower
SCHIFF & HARDIN LLP,27,0,0,2011,2018,7,hydropower
SEATTLE CITY LIGHT,1,29179.97,29179.97,2011,2011,1,hydropower
SEBASTIAN O'KELLY,7,0,0,2015,2016,2,hydropower
SEMPRA ENERGY,2,515000,1030000,2015,2015,1,hydropower
SHEET METAL & AIR CONDITIONING CONTRACTORS NAT'L ASSN,5,0,0,2017,2018,2,hydropower
SIEMENS CORPORATION,16,998125,15970000,2017,2020,4,hydropower
"SIGNAL GROUP CONSULTING, LLC",2,0,0,2015,2015,1,hydropower
"SIXKILLER CONSULTING, LLC",8,0,0,2017,2018,2,hydropower
SML CONSULTING,3,0,0,2011,2012,2,hydropower
SNOHOMISH COUNTY PUBLIC UTILITY DISTRICT,2,30000,60000,2015,2015,1,hydropower
"SONOSKY, CHAMBERS, SACHSE, ENDRESON & PERRY, LLP",6,0,0,2017,2018,2,hydropower
SOUTHERN COMPANY,24,3259583.3333333335,78230000,2011,2018,6,hydropower
SOUTHERN ENVIRONMENTAL LAW CENTER,11,71402.63636363637,785429,2015,2018,4,hydropower
SQUIRE PATTON BOGGS,9,0,0,2013,2015,3,hydropower
STRATEGIC MARKETING INNOVATIONS,8,0,0,2021,2021,1,hydropower
STRATEGIES 360,91,0,0,2010,2021,12,hydropower
"STUNTZ DAVIS & STAFFIER, P.C.",2,0,0,2017,2017,1,hydropower
SUNRUN INC.,2,50000,100000,2015,2015,1,hydropower
SUSAN STOHR,6,0,0,2011,2021,2,hydropower
TACOMA PUBLIC UTILITIES,18,73333.33333333333,1320000,2013,2021,6,hydropower
"TENNESSEE VALLEY PUBLIC POWER ASSOCIATION, INC. (TVPPA)",3,50000,150000,2014,2016,2,hydropower
THE ADVOCACY GROUP,23,0,0,2011,2018,6,hydropower
"THE CORMAC GROUP, LLC",5,0,0,2020,2021,2,hydropower
"THE FERGUSON GROUP, LLC",102,0,0,2015,2021,6,hydropower
THE NATURE CONSERVANCY,2,255000,510000,2014,2021,2,hydropower
"THE ROSE COMPANY, LLC",10,0,0,2019,2021,3,hydropower
THOMPSON CONSULTING GROUP,1,0,0,2013,2013,1,hydropower
TROUT UNLIMITED,20,67500,1350000,2013,2019,7,hydropower
"TROUTMAN PEPPER HAMILTON SANDERS, LLP",18,0,0,2015,2021,5,hydropower
UNIVERSITY OF MINNESOTA,8,78750,630000,2019,2020,2,hydropower
"VAN HEUVELEN STRATEGIES, LLC",6,0,0,2018,2020,3,hydropower
"VAN NESS FELDMAN, LLP",44,0,0,2015,2019,5,hydropower
VAN SCOYOC ASSOCIATES,19,0,0,2012,2016,5,hydropower
"WATER STRATEGIES, LLC",8,0,0,2012,2014,2,hydropower
"WILLIAMS AND JENSEN, PLLC",6,0,0,2017,2020,3,hydropower
"WISE CAPITAL STRATEGY, LLC",7,0,0,2019,2020,2,hydropower
"XCEL ENERGY, INC",19,467894.7368421053,8890000,2011,2021,7,hydropower
ZIONTZ CHESTNUT,6,0,0,2017,2018,2,hydropower
"ABB, INC.",3,135000,405000,2021,2021,1,electric_vehicles
ABI ASSOCIATES,1,0,0,2021,2021,1,electric_vehicles
"ADVANCED POLICY CONSULTING, LLC",2,0,0,2021,2021,1,electric_vehicles
ADVOCACY ASSOCIATES,1,0,0,2021,2021,1,electric_vehicles
AGRICULTURAL RETAILERS ASSOCIATION,12,206666.66666666666,2480000,2019,2021,3,electric_vehicles
AKIN GUMP STRAUSS HAUER & FELD,13,0,0,2016,2021,5,electric_vehicles
ALBEMARLE CORPORATION,2,42010.5,84021,2017,2017,1,electric_vehicles
ALLIANCE FOR AUTOMOTIVE INNOVATION,10,1593469.5,15934695,2010,2021,4,electric_vehicles
ALLIANCE ONE,11,0,0,2019,2021,3,electric_vehicles
ALLIANCE TO SAVE ENERGY,8,1250,10000,2021,2021,1,electric_vehicles
ALLIANT ENERGY CORPORATION,1,62650,62650,2010,2010,1,electric_vehicles
"ALPINE GROUP PARTNERS, LLC.",40,0,0,2010,2021,7,electric_vehicles
AMEREN SERVICES,10,677000,6770000,2010,2020,5,electric_vehicles
AMERICAN AUTOMOBILE ASSOCIATION,13,149922.23076923078,1948989,2011,2014,4,electric_vehicles
"AMERICAN AUTOMOTIVE POLICY COUNCIL, INC.",6,130833.33333333333,785000,2016,2017,2,electric_vehicles
AMERICAN CAR RENTAL ASSOCIATION,1,37500,37500,2021,2021,1,electric_vehicles
"AMERICAN ELECTRIC POWER COMPANY, INC. AND AFFILIATED CORPORATIONS",1,2005210.24,2005210.24,2011,2011,1,electric_vehicles
AMERICAN GAS ASSOCIATION,1,210000,210000,2010,2010,1,electric_vehicles
"AMERICAN HONDA MOTOR CO., INC. (FORMERLY HONDA NORTH AMERICA)",19,680133.1194736842,12922529.27,2010,2021,6,electric_vehicles
AMERICAN INTERNATIONAL AUTOMOBILE DEALERS ASSOCIATION,2,243500,487000,2021,2021,1,electric_vehicles
AMERICAN JEWISH COMMITTEE,7,34285.71428571428,240000,2010,2012,3,electric_vehicles
AMERICAN LUNG ASSOCIATION,3,73333.33333333333,220000,2021,2021,1,electric_vehicles
AMERICAN PETROLEUM INSTITUTE,3,1850000,5550000,2010,2010,1,electric_vehicles
AMERICAN PUBLIC POWER ASSOCIATION,31,193477.74193548388,5997810,2008,2021,10,electric_vehicles
AMERICAN PUBLIC TRANSPORTATION ASSOCIATION,3,363333.3333333333,1090000,2021,2021,1,electric_vehicles
AMERICAN TRUCKING ASSOCIATIONS,3,553333.3333333334,1660000,2021,2021,1,electric_vehicles
"APTIV, PLC",18,116190,2091420,2010,2014,5,electric_vehicles
ARENTFOX SCHIFF LLP,3,0,0,2011,2011,1,electric_vehicles
ARNOLD & PORTER KAYE SCHOLER LLP,16,0,0,2017,2021,5,electric_vehicles
ARRIVAL AUTOMOTIVE USA INC.,2,30000,60000,2021,2021,1,electric_vehicles
ASSOCIATED GENERAL CONTRACTORS OF AMERICA,1,209139,209139,2021,2021,1,electric_vehicles
"ASSOCIATION OF GLOBAL AUTOMAKERS, INC.",1,410000,410000,2011,2011,1,electric_vehicles
"AUSTIN ENERGY/CITY OF AUSTIN, TEXAS",3,54333.333333333336,163000,2011,2011,1,electric_vehicles
BAKER DONELSON BEARMAN CALDWELL & BERKOWITZ /THE DASCHLE GROUP,2,0,0,2021,2021,1,electric_vehicles
"BALCH & BINGHAM, LLP",2,0,0,2010,2011,2,electric_vehicles
BALL JANIK LLP,9,0,0,2013,2015,3,electric_vehicles
BALLARD PARTNERS,3,0,0,2021,2021,1,electric_vehicles
BASSGLP LLC,5,0,0,2020,2021,2,electric_vehicles
"BECKER & POLIAKOFF, P.A.",3,0,0,2021,2021,1,electric_vehicles
"BELL & LINDSAY, INC.",1,0,0,2021,2021,1,electric_vehicles
BEN BARNES GROUP LP,2,0,0,2011,2011,1,electric_vehicles
BERKSHIRE HATHAWAY ENERGY (FORMERLY MIDAMERICAN ENERGY HOLDINGS COMPANY),33,313357.51515151514,10340798,2012,2021,8,electric_vehicles
"BEST BUY CO., INC.",1,250000,250000,2010,2010,1,electric_vehicles
"BL PARTNERS GROUP, LLC",8,0,0,2019,2021,3,electric_vehicles
BLACK HILLS CORPORATION,14,47857.142857142855,670000,2013,2021,4,electric_vehicles
BLUE GREEN ALLIANCE,1,245000,245000,2011,2011,1,electric_vehicles
BLUE MOUNTAIN STRATEGIES,2,0,0,2021,2021,1,electric_vehicles
"BOLTON-ST. JOHNS, LLC",2,0,0,2021,2021,1,electric_vehicles
BOUNDARY STONE PARTNERS,1,0,0,2020,2020,1,electric_vehicles
BREAUX LOTT LEADERSHIP GROUP,2,0,0,2013,2014,2,electric_vehicles
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",6,0,0,2010,2021,3,electric_vehicles
BUSINESS COUNCIL FOR SUSTAINABLE ENERGY,2,35000,70000,2018,2019,2,electric_vehicles
"C2 GROUP, LLC",1,0,0,2010,2010,1,electric_vehicles
"CAPITOL CITY GROUP, LTD.",2,0,0,2021,2021,1,electric_vehicles
CAPITOL COUNSEL LLC,18,0,0,2011,2021,5,electric_vehicles
"CAPITOL DECISIONS, INC.",1,0,0,2010,2010,1,electric_vehicles
"CAPITOL ENERGY ADVOCACY, LLC",2,0,0,2021,2021,1,electric_vehicles
CAPITOL HILL CONSULTING GROUP,3,0,0,2021,2021,1,electric_vehicles
CAPITOL SOLUTIONS,6,0,0,2011,2012,2,electric_vehicles
"CAPITOL TAX PARTNERS, LLP",17,0,0,2011,2019,4,electric_vehicles
CARDINAL INFRASTRUCTURE LLC,7,0,0,2019,2021,3,electric_vehicles
"CARDINAL POINT PARTNERS, LLC",3,0,0,2012,2012,1,electric_vehicles
CARNEGIE MELLON UNIVERSITY,2,85000,170000,2012,2012,1,electric_vehicles
CASCADE ASSOCIATES,1,0,0,2011,2011,1,electric_vehicles
"CASSIDY & ASSOCIATES, INC.",14,0,0,2020,2021,2,electric_vehicles
CENTER FOR INDIVIDUAL FREEDOM,1,20000,20000,2019,2019,1,electric_vehicles
CENTERPOINT ENERGY,15,55000,825000,2010,2021,6,electric_vehicles
"CENTERPOINT ENERGY, INC.",9,532672.7777777778,4794055,2012,2014,3,electric_vehicles
"CGCN GROUP, LLC (FORMERLY KNOWN AS CLARK GEDULDIG CRANFORD & NIELSEN, LLC)",6,0,0,2011,2012,2,electric_vehicles
CHEVRON U.S.A. INC.,1,2890000,2890000,2010,2010,1,electric_vehicles
CLARK & WEINSTOCK,1,0,0,2011,2011,1,electric_vehicles
CLEAN ENERGY FUELS CORP,6,183333.33333333334,1100000,2017,2018,2,electric_vehicles
CMS ENERGY CORP,34,312088.23529411765,10611000,2010,2021,10,electric_vehicles
COGENT STRATEGIES LLC,1,0,0,2021,2021,1,electric_vehicles
"CONSOLIDATED EDISON COMPANY OF NEW YORK, INC.",1,259000,259000,2012,2012,1,electric_vehicles
CONSTELLATION ENERGY GROUP,5,874000,4370000,2010,2012,3,electric_vehicles
"CONSUMER REPORTS, INC. (F.K.A. CONSUMERS UNION OF UNITED STATES, INC.)",1,40000,40000,2020,2020,1,electric_vehicles
COUNCIL FOR CITIZENS AGAINST GOVERNMENT WASTE,1,30000,30000,2012,2012,1,electric_vehicles
COX ENTERPRISES INC.,8,891250,7130000,2019,2021,3,electric_vehicles
COZEN O'CONNOR PUBLIC STRATEGIES,1,0,0,2021,2021,1,electric_vehicles
"CRACKER BARREL OLD COUNTRY STORE, INC.",2,20000,40000,2011,2011,1,electric_vehicles
"CROSSROADS STRATEGIES, LLC",32,0,0,2016,2021,6,electric_vehicles
"CUMMINS, INC.",3,792556,2377668,2017,2019,3,electric_vehicles
"D SQUARED TAX STRATEGIES, LLC",10,0,0,2015,2018,3,electric_vehicles
DLA PIPER LLP (US),3,0,0,2021,2021,1,electric_vehicles
"DOMINION ENERGY, INC.",15,588666.6666666666,8830000,2012,2021,4,electric_vehicles
DOW LOHNES GOVERNMENT STRATEGIES LLC,9,0,0,2010,2012,3,electric_vehicles
"DOWNEY MCGRATH GROUP, INC.",1,0,0,2013,2013,1,electric_vehicles
"DPWN HOLDINGS (USA) INC. (FORMERLY KNOWN AS DEUTSCHE POST WORLD NET USA, INC.)",1,0,0,2019,2019,1,electric_vehicles
"DS2 GROUP, LLC",1,0,0,2018,2018,1,electric_vehicles
DTE ENERGY,11,277272.7272727273,3050000,2010,2019,5,electric_vehicles
DUKE ENERGY CORPORATION,26,1483730.7692307692,38577000,2010,2021,7,electric_vehicles
"DUPONT DE NEMOURS, INC.",1,0,0,2019,2019,1,electric_vehicles
"DUTKO WORLDWIDE, LLC",3,0,0,2011,2012,2,electric_vehicles
EARTHJUSTICE,2,66560.57,133121.14,2010,2020,2,electric_vehicles
EATON CORPORATION,6,212616.33333333334,1275698,2010,2012,3,electric_vehicles
ECONOMIC POLICY STRATEGIES,10,0,0,2016,2018,3,electric_vehicles
EDISON ELECTRIC INSTITUTE,26,2582087.5,67134275,2010,2021,9,electric_vehicles
EDISON INTERNATIONAL,6,492000,2952000,2017,2020,3,electric_vehicles
EL PASO CORPORATION,1,176000,176000,2010,2010,1,electric_vehicles
ELECTRIC DRIVE TRANSPORTATION ASSOCIATION,13,76153.84615384616,990000,2010,2021,5,electric_vehicles
ELECTRIC POWER SUPPLY ASSOCIATION,5,141000,705000,2010,2011,2,electric_vehicles
ELECTRIFICATION COALITION ALLIANCE,7,58571.42857142857,410000,2010,2012,3,electric_vehicles
"ELEVATE GOVERNMENT AFFAIRS, LLC",4,0,0,2019,2021,2,electric_vehicles
EMPIRE DISTRICT ELECTRIC COMPANY,1,0,0,2008,2008,1,electric_vehicles
"ENEL NORTH AMERICA, INC. AND ITS AFFILIATES",15,34333.333333333336,515000,2018,2021,4,electric_vehicles
"ENTERGY SERVICES, LLC",7,607142.8571428572,4250000,2010,2021,5,electric_vehicles
"ENTERPRISE HOLDINGS, INC.",6,157083.33333333334,942500,2011,2021,2,electric_vehicles
"ENVIRONMENT AMERICA, INC.",2,57000,114000,2011,2011,1,electric_vehicles
ENVIRONMENTAL DEFENSE ACTION FUND,6,194097.33333333334,1164584,2020,2021,2,electric_vehicles
ENVIRONMENTAL LAW AND POLICY CENTER,1,0,0,2011,2011,1,electric_vehicles
EVERSOURCE ENERGY SERVICE COMPANY,7,278571.4285714286,1950000,2010,2019,5,electric_vehicles
EVGO,3,36666.666666666664,110000,2021,2021,1,electric_vehicles
"EXELON BUSINESS SERVICES, LLC",6,1293333.3333333333,7760000,2018,2021,3,electric_vehicles
EXXON MOBIL CORP,1,2420000,2420000,2010,2010,1,electric_vehicles
FCA US LLC,5,1026124,5130620,2011,2021,4,electric_vehicles
FEDEX CORPORATION,9,3453661.4444444445,31082953,2010,2012,3,electric_vehicles
FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),11,0,0,2019,2021,3,electric_vehicles
FIERCE GOVERNMENT RELATIONS,14,0,0,2019,2021,2,electric_vehicles
FIRSTENERGY CORP,2,785000,1570000,2011,2011,1,electric_vehicles
FMC CORPORATION,1,340000,340000,2010,2010,1,electric_vehicles
FOCUS DC LLC,1,0,0,2021,2021,1,electric_vehicles
FORBES-TATE,18,0,0,2012,2020,5,electric_vehicles
FORD MOTOR COMPANY,25,1174626.32,29365658,2010,2021,7,electric_vehicles
GENERAL ELECTRIC COMPANY (INCLUDING SUBSIDIARIES),3,5916666.666666667,17750000,2011,2011,1,electric_vehicles
GENERAL MOTORS COMPANY,50,2157000,107850000,2010,2021,12,electric_vehicles
GEPHARDT GROUP GOVERNMENT AFFAIRS,2,0,0,2021,2021,1,electric_vehicles
GORDON THOMAS HONEYWELL GOVERNMENTAL AFFAIRS,9,0,0,2015,2016,2,electric_vehicles
"GOVBIZ ADVANTAGE, INC.",25,0,0,2014,2018,5,electric_vehicles
GREAT PLAINS ENERGY (FORMERLY KANSAS CITY POWER & LIGHT),5,56000,280000,2011,2014,2,electric_vehicles
"GREEN STRATEGIES, INC.",4,0,0,2015,2016,2,electric_vehicles
"GREENBERG TRAURIG, LLP",9,0,0,2012,2013,2,electric_vehicles
"GREENPEACE, INC.",3,15774.913333333332,47324.74,2010,2011,2,electric_vehicles
H&M STRATEGIES LLP,2,0,0,2021,2021,1,electric_vehicles
HERITAGE ACTION FOR AMERICA,1,150000,150000,2021,2021,1,electric_vehicles
HF SINCLAIR CORPORATION,10,50000,500000,2019,2021,3,electric_vehicles
"HITACHI, LTD",3,50000,150000,2021,2021,1,electric_vehicles
"HOBART HALLAWAY & QUAYLE VENTURES, LLC",7,0,0,2018,2019,2,electric_vehicles
HOGAN LOVELLS US LLP,9,0,0,2010,2012,3,electric_vehicles
"HOPPE STRATEGIES, LLC",1,0,0,2014,2014,1,electric_vehicles
"HYUNDAI - KIA AMERICA TECHNICAL CENTER, INC.",6,27166.666666666668,163000,2010,2016,3,electric_vehicles
HYUNDAI MOTOR COMPANY,1,230000,230000,2021,2021,1,electric_vehicles
INDEPENDENT PETROLEUM ASSOCIATION OF AMERICA,1,221584,221584,2010,2010,1,electric_vehicles
INTEGRATED SOLUTIONS GROUP,11,0,0,2014,2016,3,electric_vehicles
INTERNATIONAL ASSOCIATION OF FIRE CHIEFS,3,16666.666666666668,50000,2021,2021,1,electric_vehicles
INTERNATIONAL ASSOCIATION OF PLUMBING AND MECHANICAL OFFICIALS,1,20000,20000,2010,2010,1,electric_vehicles
INTERNATIONAL UNION OF OPERATING ENGINEERS,2,190000,380000,2021,2021,1,electric_vehicles
INVARIANT LLC,2,0,0,2021,2021,1,electric_vehicles
ITC HOLDINGS CORP.,10,436000,4360000,2018,2021,3,electric_vehicles
"JIM MASSIE & PARTNERS, LLC",5,0,0,2019,2020,2,electric_vehicles
"JOHNSON CONTROLS, INC AND AFFILIATES",5,88700,443500,2011,2012,2,electric_vehicles
"K&L GATES, LLP",11,0,0,2010,2021,3,electric_vehicles
"KANNER & ASSOCIATES, LLC",32,0,0,2019,2020,2,electric_vehicles
"KEARNEY, DONOVAN & MCGEE",11,0,0,2011,2020,4,electric_vehicles
KELLEY DRYE & WARREN LLP,5,0,0,2012,2013,2,electric_vehicles
"KENT & O'CONNOR, INC.",3,0,0,2021,2021,1,electric_vehicles
"KINGHORN, HILBERT & ASSOCIATES",11,0,0,2018,2020,3,electric_vehicles
KIT BOND STRATEGIES,12,0,0,2018,2020,3,electric_vehicles
"KOCH COMPANIES PUBLIC SECTOR, LLC",3,2553333.3333333335,7660000,2018,2021,2,electric_vehicles
"KOUNTOUPES DENHAM CARR & REID, LLC",1,0,0,2010,2010,1,electric_vehicles
LAW OFFICES OF KEVIN G. CURTIN,4,0,0,2020,2021,2,electric_vehicles
LEAGUE OF CONSERVATION VOTERS,1,80000,80000,2021,2021,1,electric_vehicles
"LEWIS-BURKE ASSOCIATES, LLC",1,0,0,2021,2021,1,electric_vehicles
LINCOLN PARK GROUP L.L.C.,6,0,0,2020,2021,2,electric_vehicles
LORD CORPORATION,11,28181.81818181818,310000,2014,2020,4,electric_vehicles
LORDSTOWN MOTORS CORP,4,0,0,2020,2021,2,electric_vehicles
LOT SIXTEEN LLC,10,0,0,2019,2021,3,electric_vehicles
"LTD GROUP, LLC",9,0,0,2011,2013,3,electric_vehicles
"LUCID USA, INC.",8,38750,310000,2020,2021,2,electric_vehicles
LYFT,3,406666.6666666667,1220000,2021,2021,1,electric_vehicles
MAGNA SERVICES OF AMERICA INC.,1,20000,20000,2010,2010,1,electric_vehicles
"MALONEY GOVERNMENT RELATIONS, LLC",6,0,0,2021,2021,1,electric_vehicles
MARATHON PETROLEUM COMPANY LP,2,900000,1800000,2019,2019,1,electric_vehicles
"MARCUS G. FAUST, PC",17,0,0,2010,2014,5,electric_vehicles
"MARSHALL & POPP, LLC",3,0,0,2021,2021,1,electric_vehicles
MAZDA MOTOR OF AMERICA DBA MAZDA NORTH AMERICAN OPERATIONS,1,77100,77100,2010,2010,1,electric_vehicles
"MCHUGH LEMAY ASSOC., LLC",1,0,0,2021,2021,1,electric_vehicles
MEGUIRE WHITNEY,8,0,0,2018,2021,3,electric_vehicles
"MEHLMAN CASTAGNETTI ROSEN & THOMAS, INC.",2,0,0,2019,2021,2,electric_vehicles
MERCEDES-BENZ USA (FKA DAIMLER/MERCEDES-BENZ USA),2,350000,700000,2011,2015,2,electric_vehicles
"MERCURY STRATEGIES, LLC",6,0,0,2020,2021,2,electric_vehicles
MEREVIR CONSULTING,1,0,0,2021,2021,1,electric_vehicles
MICHAEL A. ANDREWS,7,0,0,2010,2011,2,electric_vehicles
MICHELLE NAWAR,2,0,0,2021,2021,1,electric_vehicles
"MISSY EDWARDS STRATEGIES, LLC",9,0,0,2021,2021,1,electric_vehicles
"MJ CAPITOL CONSULTING, LLC",4,0,0,2018,2019,2,electric_vehicles
"ML STRATEGIES, LLC",4,0,0,2010,2011,2,electric_vehicles
MOMENTUM DYNAMICS,10,0,0,2013,2015,3,electric_vehicles
MOTOR & EQUIPMENT MANUFACTURERS ASSOCIATION,2,160000,320000,2021,2021,1,electric_vehicles
MOTORCYCLE INDUSTRY COUNCIL,31,50967.74193548387,1580000,2010,2018,9,electric_vehicles
MR. LANDON FULMER,1,0,0,2021,2021,1,electric_vehicles
MR. ROBERT L. REDDING JR.,2,0,0,2021,2021,1,electric_vehicles
MR. RONALD CLEMENTS,2,0,0,2011,2011,1,electric_vehicles
MS. MICHELLE LESLIE,1,0,0,2021,2021,1,electric_vehicles
MUNK POLICY & LAW,11,0,0,2018,2021,4,electric_vehicles
NATIONAL ASSOCIATION OF CONVENIENCE STORES,11,770000,8470000,2019,2021,3,electric_vehicles
NATIONAL AUTOMOBILE DEALERS ASSOCIATION,1,998000,998000,2021,2021,1,electric_vehicles
"NATIONAL ELECTRICAL CONTRACTORS ASSOCIATION, INC.",30,131382.02933333334,3941460.88,2012,2018,7,electric_vehicles
NATIONAL ELECTRICAL MANUFACTURERS ASSOCIATION,2,595000,1190000,2011,2011,1,electric_vehicles
NATIONAL FIRE PROTECTION ASSOCIATION,7,0,0,2011,2012,2,electric_vehicles
NATIONAL GRID USA,20,552500,11050000,2010,2021,7,electric_vehicles
NATIONAL PROPANE GAS ASSOCIATION,1,320000,320000,2010,2010,1,electric_vehicles
NATIONAL RURAL ELECTRIC COOPERATIVE ASSOCIATION (NRECA),13,588384.6153846154,7649000,2010,2021,4,electric_vehicles
NATIONAL WILDLIFE FEDERATION,1,40000,40000,2010,2010,1,electric_vehicles
NATURAL RESOURCE RESULTS LLC,1,0,0,2011,2011,1,electric_vehicles
NATURAL RESOURCES DEFENSE COUNCIL,2,197752,395504,2015,2018,2,electric_vehicles
"NAVISTAR, INC.",1,210000,210000,2021,2021,1,electric_vehicles
NELSON MULLINS RILEY & SCARBOROUGH,6,0,0,2011,2017,2,electric_vehicles
"NEXTERA ENERGY, INC.",19,1028157.8947368421,19535000,2010,2021,8,electric_vehicles
NGVAMERICA,1,0,0,2010,2010,1,electric_vehicles
NIKOLA CORPORATION,2,0,0,2021,2021,1,electric_vehicles
"NISSAN NORTH AMERICA, INC.",43,653953.4883720931,28120000,2010,2021,11,electric_vehicles
"NORTH AMERICAN SUBARU, INC.",2,100000,200000,2020,2020,1,electric_vehicles
"NORTH BRIDGE COMMUNICATIONS, INC.",1,0,0,2010,2010,1,electric_vehicles
NOSSAMAN LLP,8,0,0,2011,2012,2,electric_vehicles
OGILVY GOVERNMENT RELATIONS,1,0,0,2019,2019,1,electric_vehicles
OHIO MUNICIPAL ELECTRIC ASSOCIATION,8,36065.5,288524,2019,2020,2,electric_vehicles
PACIFIC GAS AND ELECTRIC COMPANY,10,819000,8190000,2010,2021,4,electric_vehicles
PANASONIC CORPORATION OF NORTH AMERICA (PNA),15,139333.33333333334,2090000,2011,2020,4,electric_vehicles
"PARETO POLICY SOLUTIONS, LLC",3,0,0,2021,2021,1,electric_vehicles
"PEPCO HOLDINGS, INC.",19,297368.4210526316,5650000,2010,2015,6,electric_vehicles
"PEPSICO, INC",3,806666.6666666666,2420000,2021,2021,1,electric_vehicles
PHILLIPS 66,8,831250,6650000,2019,2020,2,electric_vehicles
PILLSBURY WINTHROP SHAW PITTMAN LLP,6,0,0,2014,2015,2,electric_vehicles
PINNACLE WEST CAPITAL CORPORATION,3,223333.33333333334,670000,2010,2021,3,electric_vehicles
PNM RESOURCES,1,110000,110000,2010,2010,1,electric_vehicles
POLARIS INDUSTRIES,1,290000,290000,2021,2021,1,electric_vehicles
POLSINELLI PC,6,0,0,2010,2011,2,electric_vehicles
"PORTERFIELD, FETTIG & SEARS, LLC",4,0,0,2019,2021,2,electric_vehicles
PORTLAND GENERAL ELECTRIC,19,85000,1615000,2010,2021,9,electric_vehicles
PPL CORPORATION,10,251000,2510000,2010,2021,7,electric_vehicles
